IDN5,NM5
808300,Čabiny
808318,Čabradský Vrbovok
808334,Čačín
808393,Čadca
808512,Horelica
808555,Čachtice
808571,Čajkov
808580,Čaka
808598,Čakajovce
808601,Čakanovce
808636,Čakanovce
808644,Čakany
808661,Čaklov
808679,Čalovec
808709,Veľký Meder
808733,Čamovce
808750,Čaňa
808768,Čankov
808776,Čápor
808792,Čaradice
808806,Čáry
808814,Častá
808831,Častkov
808857,Častkovce
808873,Čata
808881,Čataj
808911,Čavoj
808971,Čebovce
808997,Čečehov
809004,Čečejovce
809021,Čechy
809047,Čekovce
809098,Čeľadice
809101,Čeľadince
809110,Čeláre
809144,Čelkova Lehota
809161,Čelovce
809187,Čelovce
809195,Čeľovce
809217,Čemerné
809241,Čereňany
809268,Čerenčany
809276,Čerhov
809284,Čerín
809292,Čermany
809314,Černík
809322,Černina
809331,Černochov
809349,Čertižné
809357,Červená Voda
809365,Červeňany
809381,Červenica
809403,Červenica pri Sabinove
809411,Červeník
809420,Červený Hrádok
809438,Červený Kameň
809446,Červený Kláštor
809462,České Brezovo
809489,Zlatno
809497,Čičarovce
809501,Čičava
809519,Čičmany
809527,Číčov
809551,Čierna
809560,Čierna Lehota
809586,Čierna Lehota
809594,Čierna nad Tisou
809616,Čierna Voda
809624,Čierne
809675,Čierne Kľačany
809691,Čierne nad Topľou
809705,Čierne Pole
809713,Čierny Balog
809764,Čierny Brod
809772,Heď
809799,Zúgov
809802,Ostrov
809811,Čierny Potok
809845,Čifáre
809853,Čiližská Radvaň
809870,Čimhová
809896,Čirč
809900,Číž
809934,Čižatice
809942,Čoltovo
809951,Čremošné
809969,Čukalovce
809977,Čuklasovce
809985,Čunovo
809993,Ďačov
810002,Horný Dačov Lom
810037,Dolný Dačov Lom
810045,Daletice
810053,Danišovce
810061,Ďanová
810070,Ďapalovce
810088,Dara
810096,Dargov
810100,Davidov
810118,Debraď
810134,Dedačov
810142,Dedina Mládeže
810169,Dedinka
810185,Dedinky
810223,Dechtice
810231,Dekýš
810240,Demandice
810282,Demänová
810304,Demänovská Dolina
810347,Demjata
810355,Detrík
810363,Detva
810550,Detvianska Huta
810606,Dolné Devičany
810614,Horné Devičany
810622,Devičie
810649,Devínska Nová Ves
810673,Dežerice
810681,Vlčkovo
810690,Diaková
810703,Diakovce
810711,Diva
810720,Diviacka Nová Ves
810738,Vrbany
810746,Diviaky
810762,Diviaky nad Nitricou
810789,Divín
810835,Divina
810851,Divinka
810878,Dlhá
810886,Dlhá Lúka
810908,Dlhá nad Kysucou
810991,Dlhá nad Oravou
811009,Dlhá nad Váhom
811017,Dlhá Ves
811025,Dlhé Klčovo
811033,Dlhé nad Cirochou
811041,Dlhé Pole
811149,Dlhé Stráže
811157,Dlhoňa
811165,Dlžín
811173,Dobrá
811181,Dobrá
811190,Dobrá Niva
811220,Dobrá Voda
811254,Dobroč
811301,Kotmanová
811343,Dobrohošť
811351,Dobroslava
811378,Dobšiná
811432,Dohňany
811475,Dojč
811483,Doľany
811491,Doľany
811513,Dolinka
811521,Dolná Breznica
811548,Dolná Krupá
811572,Dolná Lehota
811599,Dolná Lehota
811611,Dolná Mariková
811718,Dolná Mičiná
811726,Dolná Poruba
811769,Dolná Seč
811777,Dolná Streda
811785,Dolná Strehová
811840,Dolná Súča
811874,Dolná Štubňa
811904,Dolná Tižina
811921,Dolná Trnávka
811939,Dolná Ves
811947,Dolná Ždaňa
811955,Dolné Držkovce
811963,Dolné Dubové
811971,Dolné Hámre
812013,Dolné Kočkovce
812021,Dolné Krškany
812048,Dolné Lefantovce
