IDN5,NM5
828289,Kľučiarove Kračany
828297,Kráľovičove Kračany
828301,Lesné Kračany
828360,Kráľovský Chlmec
828378,Kraskovo
828386,Krásna Hôrka
828394,Krásna Lúka
828416,Krásna
828432,Krásna Ves
828459,Krasňany
828467,Krásno
828483,Krásno nad Kysucou
828700,Krásnohorská Dlhá Lúka
828734,Krásnohorské Podhradie
828751,Krásnovce
828769,Krásny Brod
828785,Rokytovce
828807,Kravany
828815,Kravany
828823,Kravany nad Dunajom
828858,Krčava
828874,Kremná
828882,Kremnica
829021,Kremnické Bane
829030,Kristy
829048,Krišľovce
829056,Krišovská Liesková
829072,Krivá
829081,Korytárky
829099,Kriváň
829137,Krivany
829145,Krivé
829153,Krivoklát
829161,Krivosúd-Bodovka
829170,Kríže
829196,Krížová Ves
829200,Krížovany
829218,Križovany nad Dudváhom
829226,Krná
829269,Krnča
829277,Krokava
829307,Krompachy
829412,Krpeľany
829447,Malé Krškany
829455,Veľké Krškany
829471,Krtovce
829498,Krupina
829587,Krušetnica
829595,Krušinec
829609,Dolné Chlebany
829617,Krušovce
829625,Kružlov
829641,Kružlová
829650,Kružná
829676,Kružno
829692,Kšinná
829714,Kubáňovo
829722,Kubrá
829731,Kubrica
829757,Kučín
829765,Kučín nad Ondavou
829773,Kuchyňa
829781,Kuklov
829790,Kuková
829811,Kukučínov
829820,Malý Pesek
829838,Kunerad
829854,Kunešov
829862,Kunov
829897,Kunova Teplica
829901,Kuraľany
829919,Kurima
829927,Kurimany
829935,Kurimka
829943,Kurov
829951,Kusín
829960,Blažov
829978,Čenkesfa
829986,Heďbeneéte
830003,Lidér Tejed
830011,Pódafa
830020,Töböréte
830038,Kúty
830054,Kuzmice
830089,Kuzmice
830097,Dlhá Lúka
830101,Kvačany
830119,Kvačany
830127,Kvakovce
830151,Kvašov
830178,Keť
830208,Kvetoslavov
830232,Kyjatice
830241,Kyjov
830259,Kysak
830275,Kysta
830283,Kysucké Nové Mesto
830381,Kysucký Lieskovec
830399,Láb
830429,Lackov
830437,Lacková
830445,Lackovce
830453,Lačnov
830461,Lada
830488,Ladce
830496,Ladice
830500,Ladmovce
830518,Ladomer
830526,Ladomirov
830542,Ladomirová
830551,Ladzany
830577,Lakšárska Nová Ves
830585,Mikulášov
830615,Lančár
830623,Malý Lapáš
830631,Veľký Lapáš
830640,Lascov
830658,Laskár
830666,Lastomír
830682,Lastovce
830704,Laškovce
830747,Látky
830879,Lazany
830887,Lazany
830895,Lazisko
830917,Dubková
830950,Lazy pod Makytou
831042,Lažany
831051,Lednica
831077,Lednické Rovne
831085,Legnava
831107,Malý Lég
831115,Masníkovo
831123,Sása
831131,Veľký Lég
831140,Lehota
831158,Rimavská Lehota
831166,Rimavica
831191,Lehota pod Vtáčnikom
831204,Lehôtka
831212,Lehôtka pod Brehmi
831239,Lechnica
831247,Lekárovce
831255,Leľa
831263,Kapoňa
831271,Leles
831298,Chabžany
831301,Lemešany
831328,Lenartov
831336,Lenartovce
831344,Lendak
831352,Lenka
831361,Lentvora
831379,Leopoldov
831395,Lesenice
831409,Lesíček
831417,Lesné
831425,Lesnica
831433,Lešť I
831441,Lažteky
831450,Podjavorie I
831468,Vidov Vrch
831484,Leštiny
831514,Letanovce
831522,Letničie
831646,Levice
831841,Levkuška
831859,Levoča
831972,Ležiachov
831981,Libichava
831999,Licince
832006,Ličartovce
832022,Liesek
832031,Lieskovany
832057,Lieskovec
832065,Lieskovec
832073,Liešno
832081,Dobročná
832090,Liešťany
832103,Lomnica
832111,Lietava
832138,Lietavská Lúčka
832146,Porúbka
832162,Lietavská Svinná
832171,Likavka
832189,Limbach
832219,Lipany
832235,Lipník
832243,Mlynský Sek
832251,Ondrochov
832260,Lipová
832286,Lipovany
832294,Lipovce
832324,Lipové
832341,Lipovec
832359,Lipovec
832367,Lipovník
832383,Lipovník
832391,Liptovská Anna
832405,Liptovská Kokava
832413,Liptovská Lúžna
832430,Liptovská Osada
832448,Liptovská Porúbka
832472,Liptovská Sielnica
832481,Parížovce
832499,Liptovská Mara
832502,Liptovská Štiavnica
832511,Liptovská Teplá
832529,Madočany
832537,Liptovská Teplička
832545,Liptovské Beharovce
832553,Liptovské Kľačany
832561,Liptovské Matiašovce
832596,Liptovské Revúce
832618,Liptovský Hrádok
832677,Liptovský Ján
832693,Liptovský Michal
832707,Liptovský Mikuláš
832766,Palúdzka
832782,Liptovská Ondrašová
832839,Liptovský Ondrej
832855,Liptovský Peter
832863,Liptovský Trnovec
832871,Lisková
832880,Lišov
832928,Litava
832944,Litmanová
832952,Livinské Opatovce
832961,Livov
832979,Livovská Huta
832987,Lodno
833002,Lok
833011,Lokca
833045,Lom nad Rimavicou
833053,Lomná
833061,Lomné
833088,Lomnička
833096,Lontov
833100,Lopašov
833118,Lopúchov
833126,Lopušné Pažite
833134,Lorinčík
833142,Lošonec
833151,Lovce
833169,Lovča
833177,Lovčica
833185,Dolné Lovčice
833193,Horné Lovčice
833215,Lovinobaňa
833231,Lozorno
833240,Ložín
833258,Ľubá
833266,Kráľovská Ľubeľa
833274,Zemianska Ľubeľa
833291,Lubeník
833312,Ľubica
833339,Ľubietová
833398,Lubina
833495,Ľubiša
833509,Ľubochňa
833533,Ľuborča
833541,Ľuboreč
833568,Ľuboriečka
833584,Ľubotice
833606,Ľubotín
833614,Ľubovec
833622,Ruské Pekľany
833631,Malá Lúč
833649,Veľká Lúč
833657,Lučatín
833673,Lučenec
833754,Opatová
833797,Mikušovce
833924,Lúčina
833959,Lučivná
833967,Lúčka
833975,Lúčka
833991,Lúčka
834009,Lúčka
834017,Lúčky
834033,Lúčky
834041,Lúčky
834050,Martinová
834068,Vajka nad Žitavou
834076,Ludanice
834084,Ludrová
834092,Luhyňa
834106,Lúka
834114,Lukáčovce
834122,Lukačovce
834131,Lukavica
834149,Lukavica
834165,Lukov
834173,Venécia
834181,Lukové
834203,Lukovištia
834211,Lúky
834238,Lula
834254,Lupoč
834262,Lutila
834289,Ľutina
834319,Lutiše
834360,Ľutov
834378,Lužany
834386,Lužany pri Topli
834408,Lužianky
834416,Lysá nad Dunajcom
834483,Lysá pod Makytou
834581,Lysica
834599,Macov
834602,Mačov
834637,Madačka
834670,Madunice
834696,Kopráš
834700,Mníšany
834718,Machulince
834726,Majcichov
834734,Majere
834742,Majerovce
834858,Makov
834955,Makovce
834963,Malá Čalomija
834971,Malá Čausa
834980,Malá Čierna
834998,Malá Domaša
835005,Malá Franková
835021,Malá Hradná
835030,Malá Ida
835102,Malá Lehota
835137,Malá Lodina
835161,Malá Mača
835170,Malá nad Hronom
835188,Malá Poľana
835196,Malacky
835382,Málaš
835391,Malatiná
835412,Malatíny
835447,Malcov
835455,Hradištská Moľva
835463,Malčice
835471,Malé Bedzany
835480,Malé Bielice
835498,Malé Borové
835510,Malé Hoste
835528,Malé Chlievany
835536,Malé Chyndice
835544,Malé Kosihy
835552,Malé Košecké Podhradie
835587,Malé Kozmálovce
835595,Malé Kršteňany
835617,Malé Lednice
835625,Malé Leváre
835633,Malé Ludince
835641,Malé Orvište
835650,Malé Ozorovce
835668,Malé Raškovce
835676,Malé Ripňany
835684,Malé Stankovce
835692,Malé Straciny
835706,Malé Trakany
835714,Malé Uherce
835722,Malé Vozokany
835749,Malé Zálužie
835757,Malé Zlievce
835773,Málinec
835790,Malinová
835803,Malinovo
835811,Patov
835820,Malužiná
835846,Malý Čepčín
835854,Malý Horeš
835862,Malý Kamenec
835871,Malý Kiar
835889,Malý Krtíš
835897,Malý Lipník
835901,Malý Slavkov
835919,Malý Slivník
835943,Malý Šariš
835960,Malženice
835994,Malá Maňa
836001,Veľká Maňa
836010,Mankovce
836028,Krátke Kesy
836036,Marcelová
836044,Margecany
836052,Rolova Huta
836061,Marhaň
836079,Marianka
836087,Markovce
836095,Markuška
836125,Markušovce
836141,Maršová
836168,Martin
836273,Tomčany
836320,Martin nad Žitavou
836338,Martinček
836346,Martinová
836354,Martovce
836362,Mašková
836371,Matejovce
836389,Matejovce nad Hornádom
836397,Matiaška
836401,Matiašovce
836427,Matovce
836435,Kapušianske Vojkovce
836443,Maťovce
836451,Matúškovo
836478,Matysová
836486,Medovarce
836494,Medvecké
836508,Medveďov
836516,Medvedie
836524,Medzany
836567,Medzev
836583,Vyšný Medzev
836591,Medzianky
836605,Medzibrod
836613,Medzibrodie nad Oravou
836621,Medzilaborce
836630,Vydraň
836664,Melčice
836672,Melek
836681,Meliata
836702,Mengusovce
836711,Štôla
836729,Merašice
836737,Merník
836753,Mestečko
836761,Mestisko
836770,Mičakovce
836788,Mierovo
836796,Miezgovce
836800,Michajlov
836826,Michal na Ostrove
836834,Michal nad Žitavou
836842,Michaľany
836877,Michalková
836893,Michalok
836907,Michalová
836915,Michalovce
837075,Stráňany
837156,Vrbovec
837318,Močarany
837431,Topoľany
837504,Miklušovce
837512,Miková
837521,Mikulášová
837539,Mikušovce pri Pruskom
837547,Veľký Kýr
837563,Milhostov
837571,Milochov
837628,Miloslavov
837636,Milpoš
837644,Miňovce
837661,Mirkovce
837687,Miroľa
837695,Mládzovo
837709,Bučuháza
837717,Kráľovianky
837725,Mliečno
837741,Mlynárovce
837750,Mlynčeky
837784,Mlynica
837814,Mlynky
837873,Mníchova Lehota
837890,Mníšek nad Hnilcom
837920,Mníšek nad Popradom
837938,Pilhov
837954,Moča
837989,Močiar
838004,Močidľany
838039,Modra
838063,Modra nad Cirochou
838071,Modranka
838080,Modrany
838098,Modrová
838101,Modrovka
838128,Modrý Kameň
838152,Mochovce
838161,Mojín
838179,Mojmírovce
838187,Mojš
838195,Mojšova Lúčka
838217,Mojtín
838225,Mojzesovo
838233,Mokrá Lúka
838241,Mokraď
838250,Mokradská Hoľa
838268,Mokrance
838276,Mokroluh
838284,Mokrý Háj
838306,Môlča
838322,Moldava nad Bodvou
838411,Moravany
838420,Moravany nad Váhom
838454,Moravské Lieskové
838489,Moravský Svätý Ján
838501,Morovno
838519,Studené
838527,Most pri Bratislave
838535,Mostište
838543,Mostová
838551,Šoriakoš
838560,Moškovec
838578,Mošovce
838586,Moštenica
838594,Mošurov
838608,Dolné Motešice
838616,Horné Motešice
838659,Motyčky
838683,Mrázovce
838691,Mučín
838721,Mudroňovo
838730,Mudrovce
838756,Muľa
838764,Muľka
838772,Muráň
838799,Muránska Dlhá Lúka
838802,Muránska Huta
838811,Muránska Lehota
838829,Muránska Zdychava
838837,Mútne
838896,Mužla
838926,Myjava
839019,Grinava
839027,Myslina
839108,Mýtna
839124,Mýtna Nová Ves
839141,Mýtne Ludany
839159,Bystrá
839175,Mýto pod Ďumbierom
839205,Nacina Ves
839221,Livina
839230,Nadlice
839248,Ňagov
839256,Naháč
839299,Nálepkovo
839345,Námestovo
839353,Slanica
839361,Námestovské Pilsko
839370,Nandraž
839388,Návojovce
839400,Necpaly
839418,Nedanovce
839426,Nedašovce
839434,Neded
839442,Nededza
839451,Nedelište
839469,Brezany
839477,Nedožery
839485,Nechválova Polianka
839493,Nemcovce
839507,Nemcovce
839558,Nemčice
839566,Nemčiňany
839574,Rohožnica
839591,Nemecká
839612,Nemečky
839621,Nemešany
839639,Nemšová
839655,Nenince
839663,Bošianska Neporadza
839671,Rožňová Neporadza
839680,Neporadza
839728,Nesluša
839817,Nesvady
839833,Neverice
839841,Nevidzany
839850,Nevidzany
839868,Nevoľné
839884,Nimnica
839914,Nitra
840076,Horné Krškany
840165,Párovské Háje
840203,Kynek
840254,Mlynárce
840319,Zobor
840378,Chrenová
840564,Mikov dvor
840572,Nitra nad Ipľom
840581,Čechynce
840599,Malý Cetín
840602,Nitrianska Blatnica
840611,Nitrianska Streda
840653,Nitrianske Hrnčiarovce
840670,Nitrianske Pravno
840688,Solka
840696,Vyšehradné
840700,Nitrianske Rudno
840726,Nitrianske Sučany
840734,Nitriansky Hrádok
840742,Dvorníky nad Nitricou
840751,Račice
840769,Nižná
840777,Nižná
840785,Nižná Boca
840793,Nižná Hutka
840807,Nižná Jablonka
840815,Nižná Jedľová
840823,Nižná Kamenica
840840,Nižná Myšľa
840858,Nižná Olšava
840866,Nižná Pisaná
840874,Nižná Pokoradz
840882,Nižná Polianka
840891,Nižná Rybnica
840904,Nižná Sitnica
840912,Nižná Slaná
840955,Nižná Šebastová
840963,Nižná Šuňava
840971,Nižná Voľa
840980,Nižné Ladičkovce
840998,Nižné Nemecké
841021,Nižné Raslavice
841030,Nižné Repaše
841048,Nižné Ružbachy
841056,Nižné Valice
841064,Nižný Čaj
841072,Nižný Hrabovec
841099,Nižný Hrušov
841129,Nižný Klátov
841137,Nižný Komárnik
841145,Nižný Kručov
841153,Nižný Lánec
841161,Nižný Mirošov
841170,Nižný Orlík
841188,Nižný Slavkov
841196,Nižný Tvarožec
841200,Nižný Žipov
841218,Nolčovo
841226,Norovce
841234,Nosice
841251,Nová Baňa
841447,Nová Bašta
841455,Hosťovce
841463,Chorváty
841471,Turnianska Nová Ves
841501,Nová Bošáca
841633,Nová Bystrica
841706,Opatová
841722,Tekovská Nová Ves
841731,Dedinka pri Dunaji
841749,Nová Ves pri Dunaji
841757,Nová Dubnica
841765,Nová Kelča
841781,Nová Lehota
841803,Nová Lehota
841820,Nová Lesná
841838,Nová Lipnica
841846,Nová Ľubovňa
841854,Nová Polhora
841862,Nová Polianka
841871,Nová Sedlica
841901,Nová Stráž
841927,Nová Ves
841935,Nová Ves nad Váhom
841943,Nová Ves nad Žitavou
841960,Nová Vieska
841978,Nováčany
842001,Nováky
842010,Nové Hony
842036,Nové Košariská
842044,Nové Mesto nad Váhom
842265,Nové Osady
842311,Nové Sady
842320,Nové Zámky
842851,Novosad
842877,Novoť
842893,Malý Ruskov
842907,Veľký Ruskov
842915,Nový Salaš
842923,Marušová
842931,Nový Tekov
842958,Eliášovce
842966,Malý Máger
842974,Tonkovce
842991,Vojtechovce
843016,Nýrovce
843024,Obeckov
843032,Obid
843041,Obišovce
843059,Kucany
843067,Oborín
843075,Obručné
843083,Obsolovce
843091,Obyce
843105,Očkov
843156,Očová
843164,Odorín
843172,Ohrady
843199,Ohradzany
843202,Sopkovce
843229,Ochodnica
843261,Ochtiná
843300,Okoč
843342,Okoličná na Ostrove
843385,Okoličné
843415,Okrúhle
843423,Šapinec
843431,Okružná
843466,Olcnava
843482,Oľdza
843504,Olejníkov
843610,Olešná
843644,Burkov vrch
843661,Krivá Oľka
843679,Nižná Oľka
843687,Olováry
843695,Oľšavce
843709,Oľšavica
843725,Oľšavka
843733,Oľšavka
843741,Oľšinkov
843750,Oľšov
843768,Olšovany
843776,Omastiná
843792,Omšenie
843806,Ondavka
843814,Ondavské Matiašovce
843822,Ondrašová
843831,Ondrašovce
843849,Ondrejovce
843857,Opátka
843865,Opatová
843873,Opatovce
843881,Opatovce nad Nitrou
843903,Opatovská Nová Ves
843946,Opatovský Sokolec
843962,Opava
843997,Opiná
844004,Opoj
844012,Oponice
844021,Oravce
844039,Orávka
844047,Oravská Jasenica
844110,Oravská Lesná
844128,Oravská Polhora
844144,Poruba-Geceľ
844152,Zábrež
844179,Oravské Veselé
844195,Oravský Biely Potok
844209,Oravský Podzámok
844225,Ordzovany
844241,Orechová
844250,Dolná Potôň
844268,Orechová Potôň
844276,Blatná lúka
844284,Vieska
844314,Oreské
844322,Oreské
844331,Orešany
844349,Orkucany
844365,Orlov
844373,Orlové
844411,Orovnica
844420,Ortuťová
844438,Osádka
844446,Osadné
844454,Osikov
844489,Osľany
844519,Osrblie
844527,Ostrá Lúka
844543,Malé Ostratice
844560,Veľké Ostratice
844578,Ostrov
844586,Ostrov
844608,Ostrovany
844616,Ostrožnica
844624,Ostrý Grúň
844641,Osturňa
844659,Osuské
844748,Oščadnica
844811,Oškerda
844829,Otročok
844837,Ovčiarsko
844845,Ovčie
844853,Ozdín
844918,Ožďany
844926,Pác
844934,Pača
844942,Padáň
844969,Padarovce
844977,Paderovce
844985,Pakostov
845027,Palárikovo
845230,Palín
845248,Sap
845256,Palota
845272,Paňa
845299,Panické Dravce
845302,Paňovce
845311,Papín
845337,Papradno
845361,Parchovany
845370,Parihuzovce
845388,Párnica
845400,Partizánska Ľupča
845426,Partizánske
845566,Pastovce
845591,Pastuchov
845612,Pataš
845639,Pašková
845647,Paština Závada
845655,Pata
845663,Patince
845671,Pavčina Lehota
845680,Pavľany
845698,Pavlice
845701,Pavlová
845710,Pavlova Ves
845728,Babky
845736,Pavlovce
845744,Pavlovce
845787,Pavlovce nad Uhom
845809,Pažiť
845817,Pčoliné
845825,Pečeňady
845833,Pečeňany
845841,Pečenice
845876,Pečovská Nová Ves
845884,Peder
845892,Peklina
845914,Chym
845922,Perín
845931,Pernek
845949,Petkovce
845957,Peťovka
845965,Petrikovce
845981,Petrová
845990,Petrova Lehota
846007,Petrova Ves
846040,Močarmany
846058,Petrovany
846074,Petrovce
846082,Petrovce
846091,Petrovce
846112,Petrovce nad Laborcom
846121,Petrovice
846147,Setechov
846155,Petrovo
846163,Pezinok
846309,Piešťany
846546,Pichne
846554,Píla
846619,Píla
846651,Píla
846660,Pinciná
846678,Pinkovce
846686,Piskorovce
846724,Pitelová
846759,Plášťovce
846767,Plavé Vozokany
846775,Plavecké Podhradie
846791,Plavecký Mikuláš
846805,Plavecký Peter
846813,Plavecký Štvrtok
846821,Feld
846848,Plaveč
846872,Plavnica
846881,Plechotice
846899,Pleš
846902,Svätuše
846929,Plešivec
846945,Plevník-Drienové
846988,Pliešovce
847020,Ploské
847046,Ploské
847054,Ploštín
847062,Pobedim
847071,Počarová
847089,Počúvadlo
847101,Podbiel
847178,Podbranč
847216,Podbrezová
847241,Belek
847259,Svätuša
847267,Bádice
847275,Mechenice
847283,Sokolníky
847305,Podhorany
847313,Podhorany
847330,Teplá
847348,Žakýl
847356,Podhorie
847364,Podhoroď
847372,Podhradie
847381,Podhradie nad Váhom
847399,Podhradie
847402,Podhradík
847411,Podkonice
847500,Podkriváň
847526,Podkylava
847577,Podlužany
847585,Podlužany
847615,Podmanín
847640,Podolie
847674,Podolínec
847682,Podrečany
847712,Podskalie
847721,Podtureň
847755,Podunajské Biskupice
847763,Podvažie
847771,Podvysoká
847780,Podzámčok
847798,Pohorelá
847810,Pohranice
847828,Pohronská Polhora
847836,Pohronský Bukovec
847844,Pohronský Ruskov
847852,Pochabany
847861,Pokryváč
847879,Korytné
847887,Poľanovce
847895,Poľany
847909,Polerieka
847917,Poliakovce
847950,Polianka
847968,Polichno
847984,Polina
848018,Poľný Kesov
848026,Polom
848034,Poloma
848051,Polomka
848077,Poltár
848093,Slaná Lehota
848107,Zelené
848115,Poluvsie
848123,Poluvsie nad Rajčankou
848131,Pongrácovce
848158,Poniky
848174,Poprad
848221,Spišská Sobota
848298,Stráže pod Tatrami
848417,Veľká
848484,Poproč
848506,Poproč
848522,Močidľany
848531,Popudiny
848557,Poráč
848590,Poriadie
848620,Porostov
848638,Poruba
848646,Poruba pod Vihorlatom
848654,Porúbka
848662,Porúbka
848671,Porúbka
848689,Posádka
848697,Poša
848701,Potôčky
848719,Potok
848727,Potok
848735,Potoky
848751,Pôtor
848786,Žihľava
848794,Potvorice
848808,Považany
848832,Považská Bystrica
849006,Považská Teplá
849022,Považské Podhradie
849031,Považský Chlmec
849057,Povina
849073,Povrazník
849090,Pozba
849103,Pozdišovce
849111,Praha
849120,Prakovce
849171,Prašice
849251,Prašník
849294,Pravenec
849324,Pravica
849332,Pravotice
849367,Praznov
849375,Práznovce
849391,Prečín
849413,Predajná
849421,Predmier
849430,Prejta
849448,Prenčov
849464,Preseľany
849472,Preseľany nad Ipľom
849499,Prestavlky
849502,Prešov
849634,Dolné Príbelce
849642,Horné Príbelce
849677,Pribeník
849707,Pribeta
849715,Pribiš
849723,Príboj
849731,Príbovce
849774,Pribylina
849782,Priechod
849839,Priekopa
849847,Priekopa
849901,Priepasné
849987,Prietrž
850012,Prietržka
850021,Prievaly
850063,Prievidza
850187,Malá Lehôtka
850195,Hradec
850225,Prihradzany
850233,Príkra
850241,Príslop
850250,Prituľany
850268,Proč
850276,Prochot
850284,Prosačov
850292,Prosiek
850314,Prosné
850322,Prša
850331,Pruské
850357,Prusy
850390,Pružina
850403,Psiare
850411,Pstriná
850420,Pšurnovice
850438,Ptičie
850446,Ptrukša
850454,Pucov
850462,Púchov
850501,Horné Kočkovce
850560,Vieska-Bezdedov
850675,Pukanec
850683,Pusté Čemerné
850691,Pusté Pole
850705,Pusté Sady
850730,Pusté Úľany
850748,Pušovce
850772,Rabča
850811,Rabčice
850845,Rad
850861,Radatice
850870,Radava
850896,Radimov
850900,Radnovce
850942,Radobica
850977,Radoľa
850993,Radoma
851027,Radôstka
851078,Radošina
851094,Radošovce
851116,Radošovce
851132,Radvaň nad Dunajom
851141,Virt
851167,Radvaň nad Laborcom
851175,Radvanovce
851191,Radzovce
851205,Rafajovce
851213,Rajčany
851221,Rajec
851230,Rajecká Lesná
851256,Rajecké Teplice
851272,Rákoš
851281,Rákoš
851388,Raková
851515,Rakovčík
851523,Rakovec nad Ondavou
851531,Rakovice
851558,Rakovnica
851574,Rakovo
851582,Rakša
851612,Rakúsy
851639,Rankovce
851655,Rapovce
851680,Rastislavice
851698,Rašice
851728,Ratka
851752,Ratková
851761,Repištia
851779,Ratkovce
851787,Ratkovo
851795,Ratkovská Lehota
851809,Sása
851817,Ratkovská Suchá
851825,Filier
851833,Ratkovské Bystré
851841,Ratnovce
851850,Ratvaj
851868,Ráztočno
851884,Ráztoka
851892,Ráztoky
851914,Ražňany
851922,Nový Svet
851931,Reca
851949,Regetovka
851965,Rejdová
851973,Reľov
851981,Remeniny
851990,Remetské Hámre
852007,Renčišov
852015,Repejov
852031,Repište
852058,Rešica
852066,Rešov
852091,Revištské Podzámčie
852104,Revúca
852210,Revúcka Lehota
852228,Revúčka
852236,Riečka
852244,Riečka
852325,Riečnica
852350,Richnava
852376,Richvald
852384,Rimavská Baňa
852406,Rimavská Píla
852414,Rimavská Seč
852422,Rimavská Sobota
852473,Tomášová
852597,Rimavské Brezovo
852635,Rimavské Janovce
852643,Príboj
852651,Rimavské Zalužany
852660,Rišňovce
852678,Rohovce
852694,Rohov
852708,Rybky
852716,Rohožník
852724,Rohožník
852732,Rochovce
852741,Rokycany
852759,Rokytov
852767,Rosina
852775,Roškovce
852791,Roštár
852805,Rovensko
852813,Rovinka
852821,Rovňany
852830,Ratkovská Zdychava
852848,Rovné
852856,Rovné
852864,Rovné
852881,Rozbehy
852899,Rozhanovce
852902,Rozložná
852911,Roztoky
852929,Rozvadze
852937,Rožkovany
852945,Rožňava
853151,Nadabula
853178,Čučma
853275,Rožňavské Bystré
853283,Rúbaň
853291,Rudina
853305,Rudinka
853356,Rudinská
853381,Rudlov
853402,Rudná
853411,Rudňany
853437,Rudnianska Lehota
853461,Rudník
853518,Rudník
853526,Rudno
853534,Rudno nad Hronom
853542,Rumanová
853569,Rumince
853577,Runina
853585,Budince
853593,Ruská
853607,Ruská Bystrá
853615,Ruská Kajňa
853623,Ruská Nová Ves
853631,Ruská Poruba
853640,Ruská Voľa
853658,Ruská Voľa nad Popradom
853666,Ruská Volová
853674,Ruské
853691,Ruskov
853704,Ruskovce
853721,Ruskovce
853739,Ruský Hrabovec
853747,Vyšný Kazimír
853755,Kručov
853763,Ruský Potok
853771,Rusovce
853780,Ružiná
853798,Ružindol
853801,Ružomberok
854140,Rybany
854158,Rybník
854166,Brusník
854182,Rybník nad Turcom
854191,Dolné Rykynčice
854204,Horné Rykynčice
854212,Sabinov
854298,Zálesie
854301,Sačurov
854310,Sádočné
854328,Byster
854344,Zdoba
854352,Salka
854361,Sampor
854379,Malinovec
854387,Santovka
854417,Sása
854425,Sasinkovo
854450,Sazdice
854468,Bečov
854476,Sebedín
854492,Sebedražie
854506,Sebechleby
854514,Seč
854522,Sečianky
854531,Sečovce
854697,Sečovská Polianka
854701,Sedliacka Dubová
854719,Sedlice
854727,Suchá Dolina
854735,Sedličná
854743,Sedliská
854751,Sedmerovec
854760,Sejkov
854778,Sekule
854786,Seľany
854794,Selce
854808,Selce
854816,Selce
854832,Selce
854841,Selec
854875,Selice
854883,Šók
854913,Semerovo
854921,Seňa
854964,Senec
854972,Seniakovce
855006,Senica
855162,Senné
855171,Senné
855201,Senohrad
855235,Dolný Čepeň
855251,Sereď
855316,Stredný Čepeň
855375,Horný Čepeň
855391,Sielnica
855405,Sihelné
855413,Sihla
855448,Trhyňa
855456,Veľký Pesek
855464,Sikenička
855472,Siladice
855499,Silica
855502,Silická Brezová
855511,Silická Jablonica
855545,Sirk
855570,Sirník
855588,Sitnianska Lehôtka
855596,Skačany
855600,Skala
855618,Skalica
855774,Skalité
855782,Skalská Nová Ves
855791,Skároš
855804,Skerešovo
855812,Sklabiňa
855839,Sklabiná
855847,Sklabinský Podzámok
855863,Sklené
855871,Sklené Teplice
855898,Skrabské
855901,Skýcov
855936,Močenok
855961,Sládkovičovo
855987,Slančík
856002,Slanec
856011,Slanská Huta
856037,Slanské Nové Mesto
856045,Slaská
856053,Slatina
856070,Slatina nad Bebravou
856088,Slatinka
856096,Slatinka nad Bebravou
856142,Slatinské Lazy
856169,Slatvina
856177,Slavec
856185,Vidová
856193,Slavkovce
856215,Slavnica
856231,Slavoška
856258,Slavošovce
856266,Dolné Sľažany
856274,Horné Sľažany
856282,Slepčany
856291,Hájniky
856304,Rybáre
856410,Liptovské Sliače
856444,Sliepkovce
856452,Slivník
856461,Slizké
856479,Slopná
856487,Slovany
856495,Slovenská Kajňa
856525,Slovenská Ľupča
856541,Slovenská Nová Ves
856550,Slovenská Ves
856568,Gruzovce
856576,Slovenská Volová
856592,Slovenské Ďarmoty
856606,Slovenské Kľačany
856614,Slovenské Krivé
856631,Slovenské Nové Mesto
856649,Slovenské Pravno
856657,Slovenský Grob
856665,Nižné Slovinky
856681,Vyšné Slovinky
856703,Smilno
856754,Smižany
856771,Smolenice
856789,Smolenická Nová Ves
856801,Smolinské
856819,Smolnícka Huta
856835,Smolník nad Cirochou
856851,Smolník
856878,Smrdáky
856886,Smrečany
856894,Snakov
856908,Snežnica
856941,Snina
857106,Soblahov
857114,Soboš
857165,Sobotište
857190,Sobrance
857203,Socovce
857220,Sokoľ
857238,Sokolce-Turi
857246,Sokolce-Lak
857254,Sokolče
857262,Sokolovce
857271,Soľ
857289,Solčany
857297,Solčianky
857301,Solivar
857319,Soľnička
857327,Soľník
857335,Sološnica
857343,Nová Vieska pri Bodrogu
857351,Somotor
857360,Véč
858064,Stará Lehota
858081,Stará Lesná
858099,Stará Ľubovňa
858196,Stará Myjava
858251,Stará Turá
858366,Stará Voda
858374,Staré
858447,Staré Hory
858455,Turecká
858471,Starina nad Cirochou
858480,Starina
858498,Starňa
858501,Starý Hrádok
858544,Starý Smokovec
858579,Starý Tekov
858633,Staškov
858676,Staškovce
858684,Stebnícka Huta
858692,Stebník
858757,Stožok
858765,Stráňany
858781,Stráňavy
858803,Stráne pod Tatrami
858811,Stránska
858838,Stránske
858854,Stratená
858862,Stráža
858871,Strážky
858889,Strážne
858897,Strážov
858935,Strážske
858943,Strečno
858960,Klin nad Bodrogom
858978,Streda nad Bodrogom
859001,Stredné Plachtince
859028,Strekov
859044,Strelnice
859052,Strelníky
859061,Stretava
859079,Stretavka
859095,Streženice
859117,Strihovce
859125,Stročín
859133,Stropkov
859249,Bokša
859281,Studená
859290,Studenec
859303,Studienka
859311,Stuľany
859320,Mást I
859338,Stupava
859346,Mást II
859354,Mást III
859362,Stupné
859371,Sučany
859389,Sudince
859397,Súdovce
859401,Suchá Hora
859435,Suchá nad Parnou
859478,Sucháň
859494,Suché
859508,Suché Brezovo
859524,Suchohrad
859532,Sukov
859541,Malý Sulín
859559,Veľký Sulín
859583,Súľov-Hradná
859591,Súlovce
859613,Sušany
