fid;NM2;NM3;NM4;NM5;x;y
3239;Bratislavský;Pezinok;Vištuk;Vištuk;17.39041244;48.32813065
124;Bratislavský;Senec;Bernolákovo;Bernolákovo;17.30959967;48.20182469
149;Bratislavský;Senec;Blatné;Blatné;17.41198805;48.27198917
187;Bratislavský;Senec;Boldog;Boldog;17.42932073;48.2367326
371;Bratislavský;Senec;Čataj;Čataj;17.47910955;48.26609415
723;Bratislavský;Senec;Hamuliakovo;Hamuliakovo;17.25321185;48.03747703
929;Bratislavský;Senec;Hrubá Borša;Hrubá Borša;17.48065564;48.17745141
933;Bratislavský;Senec;Hrubý Šúr;Hrubý Šúr;17.41156076;48.16825287
953;Bratislavský;Senec;Hurbanova Ves;Hurbanova Ves;17.44430439;48.15620123
979;Bratislavský;Senec;Chorvátsky Grob;Chorvátsky Grob;17.26657224;48.22605983
1000;Bratislavský;Senec;Igram;Igram;17.45900798;48.27544165
1021;Bratislavský;Senec;Ivanka pri Dunaji;Farná;17.2394832;48.18396765
1022;Bratislavský;Senec;Ivanka pri Dunaji;Ivanka pri Dunaji;17.26495386;48.19136707
1064;Bratislavský;Senec;Dunajská Lužná;Jánošíková;17.26589616;48.06816077
1125;Bratislavský;Senec;Kalinkovo;Kalinkovo;17.2331371;48.0568923
1157;Bratislavský;Senec;Kaplna;Kaplna;17.45079213;48.29289873
1274;Bratislavský;Senec;Kostolná pri Dunaji;Kostolná pri Dunaji;17.45147578;48.17435256
1275;Bratislavský;Senec;Kostolná pri Dunaji;Malý Šúr;17.43075666;48.17346278
1346;Bratislavský;Senec;Kráľová pri Senci;Kráľová pri Senci;17.46919065;48.19245421
1347;Bratislavský;Senec;Kráľová pri Senci;Krmeš;17.44573702;48.20484349
1720;Bratislavský;Senec;Malinovo;Malinovo;17.30097553;48.16045906
1721;Bratislavský;Senec;Malinovo;Patov;17.32328059;48.12498857
1805;Bratislavský;Senec;Miloslavov;Miloslavov;17.31518358;48.09283234
1852;Bratislavský;Senec;Most pri Bratislave;Studené;17.29744503;48.12745435
1853;Bratislavský;Senec;Most pri Bratislave;Most pri Bratislave;17.26174756;48.14823612
1995;Bratislavský;Senec;Nová Dedinka;Dedinka pri Dunaji;17.34955089;48.17922057
1996;Bratislavský;Senec;Nová Dedinka;Nová Ves pri Dunaji;17.36524461;48.18674518
2002;Bratislavský;Senec;Dunajská Lužná;Nová Lipnica;17.29945215;48.07409108
2015;Bratislavský;Senec;Dunajská Lužná;Nové Košariská;17.2570448;48.08662748
2436;Bratislavský;Senec;Nový Svet;Nový Svet;17.49248251;48.21697292
2437;Bratislavský;Senec;Reca;Reca;17.45913426;48.22642109
2479;Bratislavský;Senec;Rovinka;Rovinka;17.23944352;48.09779867
2576;Bratislavský;Senec;Senec;Senec;17.38868106;48.23490674
2947;Bratislavský;Senec;Tomášov;Malý Madaras;17.37739804;48.13928212
2948;Bratislavský;Senec;Tomášov;Tomášov;17.3360958;48.14564002
3037;Bratislavský;Senec;Tureň;Tureň;17.38881046;48.18103645
3038;Bratislavský;Senec;Tureň;Zonc;17.38701946;48.18826551
3187;Bratislavský;Senec;Veľký Biel;Malý Biel;17.34875631;48.23396529
3188;Bratislavský;Senec;Veľký Biel;Veľký Biel;17.34624928;48.22222984
3259;Bratislavský;Senec;Vlky;Vlky;17.36600325;48.15443816
3375;Bratislavský;Senec;Zálesie;Zálesie;17.27859824;48.16546858
674;Košický;Gelnica;Gelnica;Gelnica;20.9358492;48.8316358
744;Košický;Gelnica;Helcmanovce;Helcmanovce;20.85756056;48.83718035
747;Košický;Gelnica;Henclová;Henclová;20.57696448;48.76949738
906;Košický;Gelnica;Hrišovce;Hrišovce;20.90735746;48.95054648
1042;Košický;Gelnica;Jaklovce;Jaklovce;21.00430244;48.87592162
1204;Košický;Gelnica;Kluknava;Kluknava;20.95511749;48.92133264
1222;Košický;Gelnica;Kojšov;Kojšov;20.99698854;48.8038223
1738;Košický;Gelnica;Margecany;Margecany;20.99994849;48.9027067
1739;Košický;Gelnica;Margecany;Rolova Huta;21.04560107;48.89313716
1819;Košický;Gelnica;Mníšek nad Hnilcom;Mníšek nad Hnilcom;20.80326437;48.81242876
1890;Košický;Gelnica;Nálepkovo;Nálepkovo;20.60099203;48.82260735
2319;Košický;Gelnica;Prakovce;Prakovce;20.88594913;48.80304493
2455;Košický;Gelnica;Richnava;Richnava;20.91463652;48.93178824
2662;Košický;Gelnica;Smolnícka Huta;Smolnícka Huta;20.79682002;48.76145211
2664;Košický;Gelnica;Smolník;Smolník;20.70890729;48.72754429
2718;Košický;Gelnica;Stará Voda;Stará Voda;20.67592777;48.80437757
2901;Košický;Gelnica;Švedlár;Švedlár;20.68306616;48.79999348
3062;Košický;Gelnica;Úhorná;Úhorná;20.6621635;48.70650649
3196;Košický;Gelnica;Veľký Folkmar;Veľký Folkmar;21.03065671;48.84133927
3393;Košický;Gelnica;Závadka;Závadka;20.62382644;48.87350652
3465;Košický;Gelnica;Žakarovce;Žakarovce;20.92848531;48.88067505
32;Košický;Košice - okolie;Bačkovík;Bačkovík;21.43340991;48.78386941
82;Košický;Košice - okolie;Baška;Baška;21.17883934;48.70941176
112;Košický;Košice - okolie;Belža;Belža;21.27195807;48.58487445
117;Košický;Košice - okolie;Beniakovce;Beniakovce;21.31202166;48.76499692
134;Košický;Košice - okolie;Bidovce;Bidovce;21.43555167;48.74407212
153;Košický;Košice - okolie;Blažice;Blažice;21.41900068;48.67137843
174;Košický;Košice - okolie;Bohdanovce;Bohdanovce;21.40310587;48.65533879
191;Košický;Košice - okolie;Boliarov;Boliarov;21.43154968;48.80831648
284;Košický;Košice - okolie;Budimír;Budimír;21.29548118;48.79965024
289;Košický;Košice - okolie;Moldava nad Bodvou;Budulov;20.98920419;48.58137613
294;Košický;Košice - okolie;Bukovec;Bukovec;21.14268689;48.71191104
298;Košický;Košice - okolie;Bunetice;Bunetice;21.39451806;48.8642219
302;Košický;Košice - okolie;Buzica;Buzica;21.09081434;48.52625625
336;Košický;Košice - okolie;Cestice;Cestice;21.09743407;48.58540028
356;Košický;Košice - okolie;Čakanovce;Čakanovce;21.43478667;48.77219069
362;Košický;Košice - okolie;Čaňa;Čaňa;21.31652485;48.60761736
375;Košický;Košice - okolie;Čečejovce;Čečejovce;21.06210338;48.59450274
429;Košický;Košice - okolie;Čižatice;Čižatice;21.38728849;48.79160104
445;Košický;Košice - okolie;Debraď;Debraď;20.97711082;48.65338923
577;Košický;Košice - okolie;Drienovec;Drienovec;20.94188394;48.61793276
583;Košický;Košice - okolie;Kostoľany nad Hornádom;Kostoľany nad Hornádom;21.23152382;48.79055357
584;Košický;Košice - okolie;Družstevná pri Hornáde;Malá Vieska;21.25118508;48.81216677
585;Košický;Košice - okolie;Družstevná pri Hornáde;Tepličany;21.25989968;48.79401448
627;Košický;Košice - okolie;Ďurďošík;Ďurďošík;21.40534102;48.73858996
629;Košický;Košice - okolie;Ďurkov;Ďurkov;21.44344681;48.70981768
673;Košický;Košice - okolie;Geča;Geča;21.30937968;48.62374652
707;Košický;Košice - okolie;Gyňov;Gyňov;21.30793082;48.58586796
711;Košický;Košice - okolie;Hačava;Hačava;20.82553085;48.67297007
726;Košický;Košice - okolie;Haniska;Haniska;21.25300039;48.62180185
750;Košický;Košice - okolie;Herľany;Herľany;21.5071565;48.80551854
751;Košický;Košice - okolie;Herľany;Žírovce;21.4648208;48.78995641
773;Košický;Košice - okolie;Hodkovce;Hodkovce;21.09463513;48.67990182
894;Košický;Košice - okolie;Kechnec;Kechnec;21.2664156;48.54751012
895;Košický;Košice - okolie;Milhosť;Milhosť;21.27674101;48.53375053
899;Košický;Košice - okolie;Hrašovík;Hrašovík;21.32355442;48.74436718
958;Košický;Košice - okolie;Bočiar;Bočiar;21.23569819;48.59233293
959;Košický;Košice - okolie;Sokoľany;Sokoľany;21.23599079;48.610338
964;Košický;Košice - okolie;Hýľov;Hýľov;21.08126053;48.73269891
986;Košický;Košice - okolie;Chrastné;Chrastné;21.35884796;48.79616591
1059;Košický;Košice - okolie;Janík;Janík;20.97376622;48.54529859
1089;Košický;Košice - okolie;Jasov;Jasov;20.95194666;48.69989847
1136;Košický;Košice - okolie;Kalša;Kalša;21.52070645;48.61265909
1169;Košický;Košice - okolie;Kecerovce;Kecerovské Kostoľany;21.42754604;48.82230271
1170;Košický;Košice - okolie;Kecerovce;Kecerovské Pekľany;21.39856403;48.82477939
1171;Košický;Košice - okolie;Kecerovský Lipovec;Kecerovský Lipovec;21.46018649;48.85091347
1226;Košický;Košice - okolie;Kokšov-Bakša;Kokšov-Bakša;21.32130602;48.64206845
1245;Košický;Košice - okolie;Komárovce;Komárovce;21.11184152;48.56953745
1308;Košický;Košice - okolie;Košická Belá;Košická Belá;21.10673829;48.80228365
1309;Košický;Košice - okolie;Košická Polianka;Košická Polianka;21.35458248;48.69429656
1310;Košický;Košice - okolie;Košické Oľšany;Nižný Olčvár;21.35423886;48.72498807
1311;Košický;Košice - okolie;Košické Oľšany;Vyšný Olčvár;21.34904978;48.73288809
1312;Košický;Košice - okolie;Košický Klečenov;Košický Klečenov;21.5254266;48.7415978
1349;Košický;Košice - okolie;Kráľovce;Kráľovce;21.33591929;48.80585279
1448;Košický;Košice - okolie;Kysak;Kysak;21.19930222;48.84908108
1681;Košický;Košice - okolie;Malá Ida;Malá Ida;21.16624455;48.67657282
1683;Košický;Košice - okolie;Malá Lodina;Malá Lodina;21.12887985;48.88484134
1767;Košický;Košice - okolie;Medzev;Medzev;20.87144299;48.7085069
1768;Košický;Košice - okolie;Vyšný Medzev;Vyšný Medzev;20.8945843;48.74080626
1842;Košický;Košice - okolie;Mokrance;Mokrance;21.02377793;48.59750667
1846;Košický;Košice - okolie;Moldava nad Bodvou;Moldava nad Bodvou;20.99603077;48.61807022
1867;Košický;Košice - okolie;Mudrovce;Mudrovce;21.46751737;48.832609
1950;Košický;Košice - okolie;Nižná Hutka;Nižná Hutka;21.36516651;48.66217476
1953;Košický;Košice - okolie;Nižná Kamenica;Nižná Kamenica;21.50335913;48.76710869
1954;Košický;Košice - okolie;Nižná Myšľa;Nižná Myšľa;21.35942514;48.63005395
1971;Košický;Košice - okolie;Nižný Čaj;Nižný Čaj;21.39193339;48.66979856
1974;Košický;Košice - okolie;Nižný Klátov;Nižný Klátov;21.14885515;48.73450704
1977;Košický;Košice - okolie;Nižný Lánec;Nižný Lánec;21.11088456;48.53558928
1988;Košický;Košice - okolie;Hosťovce;Hosťovce;20.8585919;48.57873143
1989;Košický;Košice - okolie;Chorváty;Chorváty;20.87104294;48.56125764
1990;Košický;Košice - okolie;Turnianska Nová Ves;Turnianska Nová Ves;20.89255932;48.57095258
2004;Košický;Košice - okolie;Nová Polhora;Nová Polhora;21.31905716;48.82953332
2012;Košický;Košice - okolie;Nováčany;Nováčany;21.06405761;48.69670818
2024;Košický;Košice - okolie;Nový Salaš;Nový Salaš;21.49128303;48.60278527
2034;Košický;Košice - okolie;Obišovce;Obišovce;21.22797423;48.86651596
2068;Košický;Košice - okolie;Olšovany;Olšovany;21.40102194;48.71118328
2076;Košický;Košice - okolie;Opátka;Opátka;21.04394533;48.78525142
2083;Košický;Košice - okolie;Opiná;Opiná;21.43514715;48.86619241
2144;Košický;Košice - okolie;Paňovce;Paňovce;21.06600269;48.64887466
2174;Košický;Košice - okolie;Peder;Peder;20.94630014;48.57026817
2176;Košický;Košice - okolie;Perín-Chym;Chym;21.15977311;48.52957656
2177;Košický;Košice - okolie;Perín-Chym;Perín;21.1739976;48.54972445
2220;Košický;Košice - okolie;Ploské;Ploské;21.34153191;48.82342873
2289;Košický;Košice - okolie;Poproč;Poproč;20.97504826;48.73179972
2406;Košický;Košice - okolie;Rákoš;Rákoš;21.43256118;48.6403701
2416;Košický;Košice - okolie;Rankovce;Rankovce;21.48455423;48.81591855
2446;Košický;Košice - okolie;Rešica;Rešica;21.0314268;48.54234555
2486;Košický;Košice - okolie;Rozhanovce;Rozhanovce;21.35511968;48.7614951
2504;Košický;Košice - okolie;Rudník;Rudník;21.01917061;48.70169927
2520;Košický;Košice - okolie;Ruskov;Ruskov;21.45506759;48.68214852
2541;Košický;Košice - okolie;Sady nad Torysou;Byster;21.36373237;48.71404778
2542;Košický;Košice - okolie;Sady nad Torysou;Zdoba;21.32967812;48.71197137
2575;Košický;Košice - okolie;Seňa;Seňa;21.26283736;48.56700323
2604;Košický;Košice - okolie;Skároš;Skároš;21.41703943;48.59173284
2615;Košický;Košice - okolie;Slančík;Slančík;21.49485026;48.66060122
2616;Košický;Košice - okolie;Slanec;Slanec;21.47554227;48.63746371
2617;Košický;Košice - okolie;Slanská Huta;Slanská Huta;21.49751946;48.57865405
2618;Košický;Košice - okolie;Slanské Nové Mesto;Slanské Nové Mesto;21.52624688;48.6562262
2675;Košický;Košice - okolie;Sokoľ;Sokoľ;21.1965201;48.81593545
2793;Košický;Košice - okolie;Svinica;Svinica;21.48891516;48.72365835
2840;Košický;Košice - okolie;Šemša;Šemša;21.12468193;48.67897055
2878;Košický;Košice - okolie;Štós;Štós;20.79053618;48.70928767
2970;Košický;Košice - okolie;Trebejov;Trebejov;21.22434906;48.83586677
3006;Košický;Košice - okolie;Trsťany;Trsťany;21.39891569;48.76107285
3010;Košický;Košice - okolie;Trstené pri Hornáde;Trstené pri Hornáde;21.34699682;48.57139676
3042;Košický;Košice - okolie;Háj;Háj;20.86025104;48.63641654
3043;Košický;Košice - okolie;Turňa nad Bodvou;Turňa nad Bodvou;20.88808464;48.61705277
3089;Košický;Košice - okolie;Vajkovce;Vajkovce;21.32777715;48.7876097
3090;Košický;Košice - okolie;Valaliky;Valaliky;21.28712866;48.63715843
3128;Košický;Košice - okolie;Veľká Ida;Veľká Ida;21.1383139;48.60538776
3132;Košický;Košice - okolie;Veľká Lodina;Veľká Lodina;21.15710352;48.85630534
3296;Košický;Košice - okolie;Vtáčkovce;Vtáčkovce;21.3789707;48.83712118
3315;Košický;Košice - okolie;Vyšná Hutka;Vyšná Hutka;21.36194084;48.67857206
3318;Košický;Košice - okolie;Vyšná Kamenica;Vyšná Kamenica;21.50322346;48.78676724
3319;Košický;Košice - okolie;Vyšná Myšľa;Vyšná Myšľa;21.38954909;48.62819793
3339;Košický;Košice - okolie;Vyšný Čaj;Vyšný Čaj;21.39382084;48.6848223
3342;Košický;Košice - okolie;Vyšný Klátov;Vyšný Klátov;21.10006691;48.76019218
3346;Košický;Košice - okolie;Perín-Chym;Vyšný Lánec;21.13221053;48.52390423
3357;Košický;Košice - okolie;Dvorníky-Včeláre;Dvorníky;20.82525804;48.59849071
3358;Košický;Košice - okolie;Dvorníky-Včeláre;Včeláre;20.80248832;48.58860856
3359;Košický;Košice - okolie;Zádiel;Zádiel;20.83028767;48.6150274
3437;Košický;Košice - okolie;Zlatá Idka;Zlatá Idka;21.00717936;48.75739273
3468;Košický;Košice - okolie;Žarnov;Žarnov;20.91823105;48.57919713
3474;Košický;Košice - okolie;Ždaňa;Ždaňa;21.35630718;48.5993902
3514;Košický;Košice - okolie;Košická Belá;Košické Hámre;21.08003675;48.82641407
3515;Košický;Košice - okolie;Košická Belá;Malý Folkmar;21.06544792;48.83021083
3519;Košický;Košice - okolie;Malá Lodina;Ružín;21.09030435;48.86744439
1167;Košický;Košice I;Košice-Kavečany;Kavečany;21.20493909;48.77861013
1290;Košický;Košice I;Košice-Staré Mesto;Stredné Mesto;21.26415247;48.72493871
1291;Košický;Košice I;Košice-Staré Mesto;Letná;21.25367724;48.72951382
1292;Košický;Košice I;Košice-Staré Mesto;Huštáky;21.2457993;48.72217761
1297;Košický;Košice I;Košice-Sever;Čermeľ;21.17899929;48.78132463
1298;Košický;Košice I;Košice-Sever;Severné Mesto;21.23858698;48.73982474
1304;Košický;Košice I;Košice-Sever;Kamenné;21.16720822;48.75225891
1305;Košický;Košice I;Košice-Ťahanovce;Ťahanovce;21.25930473;48.7717126
3521;Košický;Košice I;Košice-Džungľa;Brody;21.26655302;48.73927935
3527;Košický;Košice I;Košice-Sídlisko Ťahanovce;Nové Ťahanovce;21.27923493;48.77117106
1295;Košický;Košice II;Košice-Luník IX;Luník;21.22326256;48.693382
1296;Košický;Košice II;Košice-Západ;Terasa;21.23176427;48.71198078
1302;Košický;Košice II;Košice-Pereš;Pereš;21.20967456;48.68913123
1303;Košický;Košice II;Košice-Myslava;Myslava;21.19712487;48.71317888
1306;Košický;Košice II;Košice-Poľov;Poľov;21.2075877;48.66202057
1307;Košický;Košice II;Košice-Šaca;Šaca;21.1614709;48.63920212
1595;Košický;Košice II;Košice-Lorinčík;Lorinčík;21.19220814;48.6882709
3523;Košický;Košice II;Košice-Šaca;Železiarne;21.20440547;48.60217544
3528;Košický;Košice II;Košice-Sídlisko KVP;Grunt;21.21250089;48.71580371
1299;Košický;Košice III;Košice-Dargovských hrdinov;Furča;21.29385798;48.74881814
1300;Košický;Košice III;Košice-Košická Nová Ves;Košická Nová Ves;21.30736106;48.72474948
1293;Košický;Košice IV;Košice-Vyšné Opátske;Vyšné Opátske;21.28902395;48.69983955
1294;Košický;Košice IV;Košice-Juh;Južné Mesto;21.26002064;48.6988763
1301;Košický;Košice IV;Košice-Barca;Barca;21.26199371;48.66986256
1361;Košický;Košice IV;Košice-Krásna;Krásna;21.32223702;48.67854864
2836;Košický;Košice IV;Košice-Šebastovce;Šebastovce;21.26532214;48.6538473
3522;Košický;Košice IV;Košice-Nad jazerom;Jazero;21.28832419;48.68351145
3529;Košický;Košice IV;Košice-Juh;Skladná;21.25797899;48.71465991
3530;Košický;Košice IV;Košice-Vyšné Opátske;Nižná Úvrať;21.28584887;48.71385625
37;Košický;Michalovce;Bajany;Bajany;22.11403385;48.59579703
57;Košický;Michalovce;Bánovce nad Ondavou;Bánovce nad Ondavou;21.81263629;48.67452071
128;Košický;Michalovce;Beša;Beša;21.94719259;48.52687718
215;Košický;Michalovce;Bracovce;Bracovce;21.82376453;48.64139197
287;Košický;Michalovce;Budkovce;Budkovce;21.93353956;48.63264722
374;Košický;Michalovce;Čečehov;Čečehov;21.99986663;48.72235373
405;Košický;Michalovce;Čičarovce;Čičarovce;22.01166647;48.53616962
417;Košický;Michalovce;Čierne Pole;Čierne Pole;22.07183969;48.58153747
566;Košický;Michalovce;Drahňov;Drahňov;21.9658365;48.58881808
610;Košický;Michalovce;Dúbravka;Dúbravka;21.87754725;48.62970593
645;Košický;Michalovce;Falkušovce;Falkušovce;21.83195349;48.62513369
737;Košický;Michalovce;Hatalov;Hatalov;21.89200996;48.65686968
742;Košický;Michalovce;Hažín;Hažín;22.04333527;48.73572146
769;Košický;Michalovce;Hnojné;Hnojné;22.06502786;48.78345526
863;Košický;Michalovce;Horovce;Horovce;21.77049441;48.69441235
1011;Košický;Michalovce;Iňačovce;Iňačovce;22.045228;48.69308263
1027;Košický;Michalovce;Ižkovce;Ižkovce;21.9515088;48.55519451
1093;Košický;Michalovce;Jastrabie pri Michalovciach;Jastrabie pri Michalovciach;22.03009165;48.71817577
1111;Košický;Michalovce;Jovsa;Jovsa;22.09422079;48.82307565
1119;Košický;Michalovce;Kačanov;Kačanov;21.83051707;48.60861677
1137;Košický;Michalovce;Kaluža;Kaluža;22.00454706;48.81424085
1159;Košický;Michalovce;Kapušianske Kľačany;Kapušianske Kľačany;22.09630734;48.51035808
1200;Košický;Michalovce;Klokočov;Klokočov;22.03162285;48.81455131
1258;Košický;Michalovce;Zemplínske Kopčany;Zemplínske Kopčany;21.9092723;48.59175407
1368;Košický;Michalovce;Krásnovce;Krásnovce;21.89204224;48.71977161
1380;Košický;Michalovce;Krišovská Liesková;Krišovská Liesková;22.02862599;48.58800024
1429;Košický;Michalovce;Kusín;Kusín;22.05883306;48.82193079
1472;Košický;Michalovce;Lastomír;Lastomír;21.92417541;48.6994765
1474;Košický;Michalovce;Laškovce;Laškovce;21.84736765;48.69904064
1510;Košický;Michalovce;Lesné;Lesné;21.82198704;48.79392654
1604;Košický;Michalovce;Ložín;Ložín;21.82753019;48.66044288
1635;Košický;Michalovce;Lúčky;Lúčky;22.03681882;48.7727658
1692;Košický;Michalovce;Malčice;Hradištská Moľva;21.80851343;48.57941713
1693;Košický;Michalovce;Malčice;Malčice;21.83852087;48.56504202
1709;Košický;Michalovce;Malé Raškovce;Malé Raškovce;21.90822671;48.57869605
1742;Košický;Michalovce;Markovce;Markovce;21.84278255;48.59701495
1758;Košický;Michalovce;Maťovské Vojkovce;Kapušianske Vojkovce;22.12090515;48.56665681
1759;Košický;Michalovce;Maťovské Vojkovce;Maťovce;22.14091479;48.57573336
1793;Košický;Michalovce;Michalovce;Michalovce;21.90976354;48.74696729
1794;Košický;Michalovce;Michalovce;Stráňany;21.92609238;48.7753474
1795;Košický;Michalovce;Michalovce;Vrbovec;21.9559395;48.73531
1796;Košický;Michalovce;Michalovce;Močarany;21.8958999;48.73245266
1797;Košický;Michalovce;Michalovce;Topoľany;21.88298132;48.77658943
1847;Košický;Michalovce;Moravany;Moravany;21.79331383;48.7370608
1885;Košický;Michalovce;Nacina Ves;Nacina Ves;21.8353358;48.81822565
2035;Košický;Michalovce;Oborín;Kucany;21.84318198;48.50464985
2036;Košický;Michalovce;Oborín;Oborín;21.89287399;48.52707884
2103;Košický;Michalovce;Oreské;Oreské;21.91462542;48.85967643
2139;Košický;Michalovce;Palín;Palín;21.98008774;48.66301691
2167;Košický;Michalovce;Pavlovce nad Uhom;Pavlovce nad Uhom;22.05153283;48.61828227
2181;Košický;Michalovce;Petrikovce;Petrikovce;21.85357599;48.54745044
2190;Košický;Michalovce;Petrovce nad Laborcom;Petrovce nad Laborcom;21.86507199;48.79449313
2296;Košický;Michalovce;Poruba pod Vihorlatom;Poruba pod Vihorlatom;22.1422404;48.85268619
2317;Košický;Michalovce;Pozdišovce;Pozdišovce;21.84600739;48.73626441
2371;Košický;Michalovce;Ptrukša;Ptrukša;22.13436288;48.47316628
2377;Košický;Michalovce;Pusté Čemerné;Pusté Čemerné;21.80919467;48.84510693
2410;Košický;Michalovce;Rakovec nad Ondavou;Rakovec nad Ondavou;21.7909717;48.77138351
2510;Košický;Michalovce;Budince;Budince;22.12165274;48.54663737
2511;Košický;Michalovce;Ruská;Ruská;22.13947247;48.53476797
2580;Košický;Michalovce;Senné;Senné;22.03838786;48.66765258
2628;Košický;Michalovce;Slavkovce;Slavkovce;21.91225782;48.606794
2638;Košický;Michalovce;Sliepkovce;Sliepkovce;21.94143239;48.6568641
2719;Košický;Michalovce;Staré;Staré;21.87786001;48.85714149
2743;Košický;Michalovce;Strážske;Strážske;21.82505624;48.87627643
2751;Košický;Michalovce;Stretava;Stretava;21.99707166;48.64036067
2752;Košický;Michalovce;Stretavka;Stretavka;21.98622703;48.6167376
2773;Košický;Michalovce;Suché;Suché;21.83719296;48.76996913
2813;Košický;Michalovce;Šamudovce;Šamudovce;21.87812646;48.70605385
2987;Košický;Michalovce;Trhovište;Trhovište;21.80755308;48.69956085
2992;Košický;Michalovce;Trnava pri Laborci;Trnava pri Laborci;21.93002559;48.82720169
3047;Košický;Michalovce;Tušice;Tušice;21.74410179;48.72910047
3048;Košický;Michalovce;Tušická Nová Ves;Tušická Nová Ves;21.75353588;48.71649706
3153;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;22.07295792;48.5432186
3166;Košický;Michalovce;Veľké Raškovce;Veľké Raškovce;21.90733205;48.55724929
3170;Košický;Michalovce;Veľké Slemence;Veľké Slemence;22.13283631;48.50159755
3183;Košický;Michalovce;Zalužice;Zalužice;21.98916573;48.75819388
3226;Košický;Michalovce;Vinné;Vinné;21.96811914;48.8080493
3262;Košický;Michalovce;Vojany;Vojany;21.99529808;48.5687228
3272;Košický;Michalovce;Voľa;Voľa;21.84349607;48.84196869
3286;Košický;Michalovce;Vrbnica;Vrbnica;21.87811395;48.68650915
3310;Košický;Michalovce;Vysoká nad Uhom;Vysoká nad Uhom;22.09859831;48.63001595
3391;Košický;Michalovce;Závadka;Závadka;22.06858938;48.76070197
3413;Košický;Michalovce;Zbudza;Zbudza;21.89779424;48.81553072
3430;Košický;Michalovce;Zemplínska Široká;Zemplínska Široká;21.973267;48.69668061
3473;Košický;Michalovce;Žbince;Žbince;21.89442611;48.67438706
16;Košický;Rožňava;Ardovo;Ardovo;20.4333367;48.5258109
132;Košický;Rožňava;Betliar;Betliar;20.52333582;48.7221226
179;Košický;Rožňava;Bohúňovo;Bohúňovo;20.39716551;48.51137298
180;Košický;Rožňava;Bohúňovo;Tiba;20.37138228;48.51221866
198;Košický;Rožňava;Bôrka;Bôrka;20.7794203;48.64189078
234;Košický;Rožňava;Brdárka;Brdárka;20.33773801;48.76362525
246;Košický;Rožňava;Bretka;Bretka;20.33516192;48.49023134
277;Košický;Rožňava;Brzotín;Brzotín;20.49619442;48.62600327
411;Košický;Rožňava;Čierna Lehota;Čierna Lehota;20.22447281;48.73902196
430;Košický;Rožňava;Čoltovo;Čoltovo;20.40266042;48.4896266
449;Košický;Rožňava;Dedinky;Dedinky;20.38087868;48.86188649
480;Košický;Rožňava;Dlhá Ves;Dlhá Ves;20.44569355;48.49993482
495;Košický;Rožňava;Dobšiná;Dobšiná;20.3353263;48.83553839
582;Košický;Rožňava;Drnava;Drnava;20.66403718;48.65125529
677;Košický;Rožňava;Gemerská Hôrka;Gemerská Hôrka;20.35826555;48.54312026
678;Košický;Rožňava;Gemerská Panica;Gemerská Panica;20.38142983;48.47319834
679;Košický;Rožňava;Gemerská Poloma;Gemerská Poloma;20.49053657;48.74859042
695;Košický;Rožňava;Gočaltovo;Gočaltovo;20.32495201;48.64067541
696;Košický;Rožňava;Gočovo;Gočovo;20.43664774;48.76251076
728;Košický;Rožňava;Hanková;Hanková;20.30005304;48.75793044
746;Košický;Rožňava;Henckovce;Henckovce;20.43321526;48.70797405
789;Košický;Rožňava;Honce;Honce;20.40983364;48.67235134
902;Košický;Rožňava;Hrhov;Hrhov;20.75320907;48.5953026
935;Košický;Rožňava;Hrušov;Hrušov;20.62198751;48.58707985
1034;Košický;Rožňava;Jablonov nad Turňou;Jablonov nad Turňou;20.67403502;48.58917093
1110;Košický;Rožňava;Jovice;Jovice;20.53766454;48.6221192
1173;Košický;Rožňava;Kečovo;Kečovo;20.4809857;48.49314013
1208;Košický;Rožňava;Kobeliarovo;Kobeliarovo;20.36824349;48.74975485
1211;Košický;Rožňava;Koceľovce;Koceľovce;20.34176289;48.71534172
1320;Košický;Rožňava;Kováčová;Kováčová;20.70029805;48.64579623
1366;Košický;Rožňava;Krásnohorská Dlhá Lúka;Krásnohorská Dlhá Lúka;20.57072829;48.61877584
1367;Košický;Rožňava;Krásnohorské Podhradie;Krásnohorské Podhradie;20.59969712;48.65962481
1407;Košický;Rožňava;Kružná;Kružná;20.46353927;48.63743185
1423;Košický;Rožňava;Kunova Teplica;Kunova Teplica;20.38218045;48.6121478
1551;Košický;Rožňava;Lipovník;Lipovník;20.62197176;48.62165058
1631;Košický;Rožňava;Lúčka;Lúčka;20.72836396;48.63849145
1743;Košický;Rožňava;Markuška;Markuška;20.31352207;48.73038632
1776;Košický;Rožňava;Meliata;Meliata;20.33129309;48.51596466
1961;Košický;Rožňava;Nižná Slaná;Nižná Slaná;20.40751983;48.72542819
2047;Košický;Rožňava;Ochtiná;Ochtiná;20.31136467;48.6797345
2133;Košický;Rožňava;Pača;Pača;20.62465457;48.70608279
2155;Košický;Rožňava;Pašková;Pašková;20.38426224;48.5882874
2193;Košický;Rožňava;Petrovo;Petrovo;20.36971471;48.71507559
2216;Košický;Rožňava;Plešivec;Plešivec;20.41714425;48.58233039
2412;Košický;Rožňava;Rakovnica;Rakovnica;20.45502657;48.65750655
2439;Košický;Rožňava;Rejdová;Rejdová;20.24708817;48.79604902
